adduct,ligand,ligand type,complex,halogen ligand,position,X2 species,Complex Energy (kJ/mol),Adduct Energy (kJ/mol),Bond Dissociation Energy (kJ/mol),Pt-X' distance (Å),X-X' distance (Å),X'-Pt-X angle (°),Pt-X-X' angle (°),original_xx_length (Å),xx_length_in_adduct (Å),change_in_xx_length (Å),Total Bonding Energy (kJ/mol),Electrostatic Interaction (kJ/mol),Total Pauli Repulsion (kJ/mol),Total Orbital Interactions (kJ/mol),Dispersion Energy (kJ/mol),Total Interaction Energy (kJ/mol),Lowest Frequency (cm^-1),Homo Energy (kJ/mol),Lumo Energy (kJ/mol),Electronegativity,Hardness,Electrophilicity,Softness
PH3_Cl_X_Cl,PH3,phosphine,PH3_Cl,Cl,X,Cl,-4224189.641,-6640479.116,-23.569,3.373,3.27,66.962,71.662,2.024,2.035,0.011,-26.61,-28.911,45.731,-22.343,-21.087,-26.61,16.41,-28959.048,-15584.469,-22271.758,6687.2895,37087.613,0.00015
PH3_Cl_X_I,PH3,phosphine,PH3_Cl,Cl,X,I,-4224189.641,-5777073.849,-39.263,3.444,3.534,72.342,68.238,2.704,2.714,0.01,-42.426,-49.915,76.484,-39.413,-29.581,-42.42,10.09,-28959.048,-15584.469,-22271.758,6687.2895,37087.613,0.00015
PH3_I_Pt_Br,PH3,phosphine,PH3_I,I,Pt,Br,-3792437.625,-5981225.341,-35.927,3.177,4.487,100.246,44.18,2.316,2.341,0.025,-46.61,-41.129,75.396,-53.262,-27.656,-46.65,14.4,-26560.975,-15650.483,-21105.729,5455.246,40827.838,0.00018
PH3_I_Pt_Cl,PH3,phosphine,PH3_I,I,Pt,Cl,-3792437.625,-6208731.082,-27.552,3.084,4.455,101.629,42.685,2.024,2.05,0.026,-35.062,-37.572,70.459,-45.355,-22.594,-35.06,13.01,-26560.975,-15650.483,-21105.729,5455.246,40827.838,0.00018
PH3_I_Pt_I,PH3,phosphine,PH3_I,I,Pt,I,-3792437.625,-5345327.081,-44.512,3.431,3.705,73.552,62.641,2.704,2.726,0.022,-46.484,-56.819,92.759,-51.714,-30.711,-46.48,12.1,-26560.975,-15650.483,-21105.729,5455.246,40827.838,0.00018
PH3_I_X_Br,PH3,phosphine,PH3_I,I,X,Br,-3792437.625,-5981226.675,-37.262,3.315,3.405,68.372,64.811,2.316,2.349,0.033,-45.02,-52.258,89.496,-56.484,-25.815,-45.06,20.46,-26560.975,-15650.483,-21105.729,5455.246,40827.838,0.00018
PH3_I_X_Cl,PH3,phosphine,PH3_I,I,X,Cl,-3792437.625,-6208730.278,-26.748,3.342,3.427,68.499,65.12,2.024,2.049,0.025,-31.84,-35.02,60.375,-35.438,-21.757,-31.84,15.31,-26560.975,-15650.483,-21105.729,5455.246,40827.838,0.00018
PH3_I_X_I,PH3,phosphine,PH3_I,I,X,I,-3792437.625,-5345327.118,-44.549,3.43,3.702,73.517,62.658,2.704,2.726,0.022,-46.986,-57.53,93.136,-51.882,-30.711,-46.99,10.04,-26560.975,-15650.483,-21105.729,5455.246,40827.838,0.00018
PMe_Cl_X_Cl,PMe,phosphine,PMe_Cl,Cl,X,Cl,-4533918.198,-6950210.401,-26.298,3.442,3.191,63.541,74.934,2.024,2.039,0.015,-32.468,-33.305,54.559,-25.481,-28.242,-32.47,16.69,-27702.142,-13498.105,-20600.124,7102.0185,29876.373,0.00014
PMe_I_X_Br,PMe,phosphine,PMe_I,I,X,Br,-4102164.457,-6290956.615,-40.369,3.361,3.338,65.951,66.869,2.316,2.357,0.041,-50.836,-57.739,98.659,-61.672,-30.083,-50.83,18.94,-25442.385,-13666.425,-19554.405,5887.98,32470.793,0.00017
PMe_I_X_Cl,PMe,phosphine,PMe_I,I,X,Cl,-4102164.457,-6518459.939,-29.576,3.382,3.338,65.661,67.405,2.024,2.057,0.033,-36.526,-39.706,70.208,-41.714,-25.355,-36.57,20.45,-25442.385,-13666.425,-19554.405,5887.98,32470.793,0.00017
PMe_I_X_I,PMe,phosphine,PMe_I,I,X,I,-4102164.457,-5655056.017,-46.615,3.465,3.631,71.131,64.575,2.704,2.733,0.029,-51.756,-59.455,96.692,-54.685,-34.309,-51.76,16.6,-25442.385,-13666.425,-19554.405,5887.98,32470.793,0.00017
PMe2_Br_Pt_Br,PMe2,phosphine,PMe2_Br,Br,Pt,Br,-4729867.997,-6918662.434,-42.648,3.006,4.031,93.778,48.08,2.316,2.365,0.049,-64.434,-71.505,125.897,-79.119,-39.664,-64.39,21.9,-25871.117,-11984.074,-18927.596,6943.5215,25797.709,0.00014
PMe2_Br_Pt_Cl,PMe2,phosphine,PMe2_Br,Br,Pt,Cl,-4729867.997,-7146168.291,-34.389,3.017,4.018,93.079,48.558,2.024,2.064,0.04,-49.999,-51.547,92.717,-57.656,-33.556,-50.04,25.85,-25871.117,-11984.074,-18927.596,6943.5215,25797.709,0.00014
PMe2_Br_Pt_I,PMe2,phosphine,PMe2_Br,Br,Pt,I,-4729867.997,-6282759.478,-46.537,3.266,3.94,85.155,55.684,2.704,2.734,0.03,-61.505,-67.655,109.956,-59.413,-44.392,-61.5,4.62,-25871.117,-11984.074,-18927.596,6943.5215,25797.709,0.00014
PMe2_Br_X_Br,PMe2,phosphine,PMe2_Br,Br,X,Br,-4729867.997,-6918660.242,-40.456,3.296,3.282,67.201,67.801,2.316,2.346,0.03,-55.731,-62.258,99.621,-53.388,-39.706,-55.73,20.59,-25871.117,-11984.074,-18927.596,6943.5215,25797.709,0.00014
PMe2_Br_X_Cl,PMe2,phosphine,PMe2_Br,Br,X,Cl,-4729867.997,-7146164.026,-30.123,3.357,3.242,65.222,70.091,2.024,2.049,0.025,-39.037,-41.924,69.329,-35.229,-31.213,-39.04,11.2,-25871.117,-11984.074,-18927.596,6943.5215,25797.709,0.00014
PMe2_Cl_Pt_Br,PMe2,phosphine,PMe2_Cl,Cl,Pt,Br,-4843648.796,-7032442.13,-41.545,3.011,3.945,93.697,49.608,2.316,2.362,0.046,-62.467,-69.371,122.717,-76.944,-38.828,-62.43,21.76,-26769.59,-11904.057,-19336.824,7432.7665,25153.001,0.00013
PMe2_Cl_Pt_Cl,PMe2,phosphine,PMe2_Cl,Cl,Pt,Cl,-4843648.796,-7259948.366,-33.664,3.013,3.936,93.317,49.83,2.024,2.063,0.039,-48.995,-51.338,92.759,-57.488,-32.97,-49.04,25.57,-26769.59,-11904.057,-19336.824,7432.7665,25153.001,0.00013
PMe2_Cl_Pt_I,PMe2,phosphine,PMe2_Cl,Cl,Pt,I,-4843648.796,-6396538.619,-44.879,3.244,3.999,89.554,54.207,2.704,2.736,0.032,-59.789,-65.605,109.997,-61.003,-43.179,-59.79,12.44,-26769.59,-11904.057,-19336.824,7432.7665,25153.001,0.00013
PMe2_Cl_X_Cl,PMe2,phosphine,PMe2_Cl,Cl,X,Cl,-4843648.796,-7259942.512,-27.811,3.387,3.192,64.495,73.291,2.024,2.041,0.017,-35.313,-36.652,58.994,-27.405,-30.208,-35.27,8.43,-26769.59,-11904.057,-19336.824,7432.7665,25153.001,0.00013
PMe2_Cl_X_I,PMe2,phosphine,PMe2_Cl,Cl,X,I,-4843648.796,-6396537.82,-44.08,3.461,3.687,75.817,65.504,2.704,2.718,0.014,-54.685,-51.212,81.086,-39.455,-45.104,-54.68,7.1,-26769.59,-11904.057,-19336.824,7432.7665,25153.001,0.00013
PMe2_I_Pt_Br,PMe2,phosphine,PMe2_I,I,Pt,Br,-4411888.909,-6600685.015,-44.318,3.02,4.079,91.369,47.756,2.316,2.366,0.05,-65.898,-72.843,125.269,-77.655,-40.668,-65.9,20.98,-24642.361,-12192.403,-18417.382,6224.979,27245.069,0.00016
PMe2_I_Pt_Cl,PMe2,phosphine,PMe2_I,I,Pt,Cl,-4411888.909,-6828190.327,-35.512,3.019,4.104,92.064,47.327,2.024,2.066,0.042,-51.547,-53.388,94.642,-58.492,-34.267,-51.5,25.56,-24642.361,-12192.403,-18417.382,6224.979,27245.069,0.00016
PMe3_Br_Pt_Br,PMe3,phosphine,PMe3_Br,Br,Pt,Br,-5039537.644,-7228343.546,-54.113,3.264,3.117,63.53,69.6,2.316,2.364,0.048,-72.174,-81.504,129.871,-75.186,-45.355,-72.17,16.9,-24706.302,-12571.983,-18639.142,6067.1595,28630.994,0.00016
PMe3_Br_Pt_Cl,PMe3,phosphine,PMe3_Br,Br,Pt,Cl,-5039537.644,-7455843.284,-39.735,3.232,3.135,64.578,68.633,2.024,2.063,0.039,-52.133,-59.162,96.525,-52.049,-37.447,-52.13,16.86,-24706.302,-12571.983,-18639.142,6067.1595,28630.994,0.00016
PMe3_Br_Pt_I,PMe3,phosphine,PMe3_Br,Br,Pt,I,-5039537.644,-6592440.148,-57.56,3.142,4.441,103.294,43.519,2.704,2.756,0.052,-77.446,-95.228,156.607,-87.697,-51.128,-77.45,18.93,-24706.302,-12571.983,-18639.142,6067.1595,28630.994,0.00016
PMe3_Br_X_Br,PMe3,phosphine,PMe3_Br,Br,X,Br,-5039537.644,-7228334.13,-44.698,3.275,3.216,66.017,68.508,2.316,2.357,0.041,-64.559,-71.421,111.713,-64.852,-40.041,-64.6,15.93,-24706.302,-12571.983,-18639.142,6067.1595,28630.994,0.00016
PMe3_Br_X_I,PMe3,phosphine,PMe3_Br,Br,X,I,-5039537.644,-6592435.298,-52.71,3.301,3.487,72.303,64.419,2.704,2.738,0.034,-68.618,-90.876,139.746,-68.283,-49.246,-68.66,7.25,-24706.302,-12571.983,-18639.142,6067.1595,28630.994,0.00016
PMe3_Cl_Pt_Br,PMe3,phosphine,PMe3_Cl,Cl,Pt,Br,-5153322.303,-7342121.819,-47.727,3.247,3.135,65.477,70.414,2.316,2.345,0.029,-63.89,-70.5,106.274,-56.149,-43.472,-63.85,12.48,-25706.083,-11884.053,-18795.068,6911.015,25557.359,0.00014
PiPr_Br_Pt_Br,PiPr,phosphine,PiPr_Br,Br,Pt,Br,-5039336.075,-7228132.556,-44.692,3.342,3.197,64.394,70.543,2.316,2.349,0.033,-59.12,-61.128,100.416,-58.45,-39.957,-59.12,15.86,-26006.288,-12660.715,-19333.502,6672.7865,28008.112,0.00015
PiPr_Br_Pt_Cl,PiPr,phosphine,PiPr_Br,Br,Pt,Cl,-5039336.075,-7455634.954,-32.974,3.342,3.229,65.246,70.039,2.024,2.048,0.024,-41.212,-40.961,69.622,-37.196,-32.677,-41.21,14.59,-26006.288,-12660.715,-19333.502,6672.7865,28008.112,0.00015
PiPr_Br_Pt_I,PiPr,phosphine,PiPr_Br,Br,Pt,I,-5039336.075,-6592233.36,-52.341,3.489,3.397,66.652,70.552,2.704,2.729,0.025,-61.463,-66.609,109.077,-57.781,-46.191,-61.5,15.72,-26006.288,-12660.715,-19333.502,6672.7865,28008.112,0.00015
PiPr_Br_X_Br,PiPr,phosphine,PiPr_Br,Br,X,Br,-5039336.075,-7228132.557,-44.693,3.341,3.194,64.354,70.556,2.316,2.348,0.032,-59.58,-61.505,100.207,-58.702,-39.581,-59.58,15.71,-26006.288,-12660.715,-19333.502,6672.7865,28008.112,0.00015
NHC_Br_X_Cl,NHC,N-heterocyclic carbene,NHC_Br,Br,X,Cl,-3189501.955,-5605796.383,-28.523,3.805,2.983,51.535,87.18,2.024,2.077,0.053,-46.317,-55.94,95.563,-67.864,-18.075,-46.32,11.8,-24186.837,-10782.395,-17484.616,6702.221,22806.753,0.00015
NHC_Cl_Pt_Br,NHC,N-heterocyclic carbene,NHC_Cl,Cl,Pt,Br,-3303292.478,-5492095.766,-51.499,2.938,3.921,94.592,48.323,2.316,2.388,0.072,-75.898,-93.303,153.218,-107.11,-28.702,-75.9,17.46,-24604.567,-10589.354,-17596.96,7007.6065,22094.063,0.00014
NHC_Cl_Pt_I,NHC,N-heterocyclic carbene,NHC_Cl,Cl,Pt,I,-3303292.478,-4856192.67,-55.248,3.149,4.006,91.896,51.784,2.704,2.758,0.054,-69.245,-89.83,140.038,-87.027,-32.468,-69.29,14.74,-24604.567,-10589.354,-17596.96,7007.6065,22094.063,0.00014
NHC_Cl_X_Br,NHC,N-heterocyclic carbene,NHC_Cl,Cl,X,Br,-3303292.478,-5492095.876,-51.608,2.934,3.916,94.527,48.323,2.316,2.387,0.071,-76.065,-93.261,153.595,-107.822,-28.577,-76.06,17.46,-24604.567,-10589.354,-17596.96,7007.6065,22094.063,0.00014
NHC_I_Pt_I,NHC,N-heterocyclic carbene,NHC_I,I,Pt,I,-2871512.541,-4424417.534,-60.048,3.125,4.203,92.591,47.96,2.704,2.771,0.067,-83.638,-110.499,167.276,-103.972,-36.443,-83.64,18.76,-22851.629,-10930.783,-16891.206,5960.423,23933.942,0.00017
NHC_I_X_Br,NHC,N-heterocyclic carbene,NHC_I,I,X,Br,-2871512.541,-5060313.328,-48.998,3.634,3.139,57.159,76.602,2.316,2.4,0.084,-70.459,-81.965,138.532,-102.341,-24.686,-70.46,11.11,-22851.629,-10930.783,-16891.206,5960.423,23933.942,0.00017
NHC_I_X_Cl,NHC,N-heterocyclic carbene,NHC_I,I,X,Cl,-2871512.541,-5287815.55,-37.103,3.685,3.073,54.988,79.143,2.024,2.11,0.086,-57.028,-66.526,121.42,-92.132,-19.832,-57.07,13.28,-22851.629,-10930.783,-16891.206,5960.423,23933.942,0.00017
NHC_I_X_I,NHC,N-heterocyclic carbene,NHC_I,I,X,I,-2871512.541,-4424412.849,-55.364,3.36,3.388,66.762,65.689,2.704,2.788,0.084,-78.868,-121.42,193.803,-112.382,-38.869,-78.87,17.99,-22851.629,-10930.783,-16891.206,5960.423,23933.942,0.00017
CNMe_Br_Pt_Cl,CNMe,isocyanide,CNMe_Br,Br,Pt,Cl,-2453183.896,-4869467.382,-17.58,3.202,4.319,98.724,47.123,2.024,2.04,0.016,-22.51,-19.163,40.125,-25.815,-17.698,-22.55,4.61,-26041.296,-13861.609,-19951.452,6089.8435,32682.321,0.00016
CNMe_Cl_Pt_Cl,CNMe,isocyanide,CNMe_Cl,Cl,Pt,Cl,-2566963.26,-4983246.193,-17.028,3.215,4.272,99.84,47.858,2.024,2.038,0.014,-21.589,-17.991,38.367,-24.686,-17.238,-21.55,7.82,-27068.581,-13898.903,-20483.742,6584.839,31859.829,0.00015
CNMe_Cl_Pt_I,CNMe,isocyanide,CNMe_Cl,Cl,Pt,I,-2566963.26,-4119840.282,-32.078,3.538,3.369,66.37,74.171,2.704,2.72,0.016,-34.476,-45.145,68.157,-35.02,-22.426,-34.43,1.13,-27068.581,-13898.903,-20483.742,6584.839,31859.829,0.00015
CNMe_I_Pt_I,CNMe,isocyanide,CNMe_I,I,Pt,I,-2135207.902,-3688089.358,-36.512,3.521,3.585,69.323,66.76,2.704,2.735,0.031,-38.828,-49.622,82.801,-48.785,-23.263,-38.87,4.15,-24730.093,-13843.391,-19286.742,5443.351,34168.145,0.00018
CNMe_I_X_I,CNMe,isocyanide,CNMe_I,I,X,I,-2135207.902,-3688089.356,-36.511,3.524,3.581,69.182,66.898,2.704,2.735,0.031,-38.995,-49.329,82.383,-48.869,-23.179,-38.99,4.55,-24730.093,-13843.391,-19286.742,5443.351,34168.145,0.00018
